# soak.py — pont Telegram (pont.py), premiere instance publique du harnais
# debut_utc	2026-09-22T12:05:24Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T12:39:24Z	2040	781853	1	20904	30244	1	4	0	5647	0	0	0.02	
2026-09-22T12:40:24Z	2100	781853	1	20904	30244	1	4	0	5648	0	0	0.00	
2026-09-22T12:41:24Z	2160	781853	1	20904	30244	1	4	0	5649	0	0	0.00	
2026-09-22T12:42:24Z	2220	781853	1	20904	30244	1	4	0	5649	0	0	0.00	
2026-09-22T12:43:24Z	2280	781853	1	20904	30244	1	4	0	5650	0	0	0.07	
2026-09-22T12:44:24Z	2340	781853	1	20904	30244	1	4	0	5650	0	0	0.02	
2026-09-22T12:45:24Z	2400	781853	1	20904	30244	1	4	0	5650	0	0	0.01	
2026-09-22T12:46:24Z	2460	781853	1	20904	30244	1	4	0	5651	0	0	0.10	
2026-09-22T12:47:24Z	2520	781853	1	20904	30244	1	4	0	5651	0	0	0.03	
2026-09-22T12:48:24Z	2580	781853	1	20904	30244	1	4	0	5651	0	0	0.05	
2026-09-22T12:49:24Z	2640	781853	1	20904	30244	1	4	0	5652	0	0	0.02	
2026-09-22T12:50:24Z	2700	781853	1	20904	30244	1	4	0	5652	0	0	0.00	
2026-09-22T12:51:24Z	2760	781853	1	20904	30244	1	4	0	5652	0	0	0.00	
2026-09-22T12:52:24Z	2820	781853	1	20904	30244	1	4	0	5654	0	0	0.00	
2026-09-22T12:53:24Z	2880	781853	1	20904	30244	1	4	0	5654	0	0	0.07	
2026-09-22T12:54:24Z	2940	781853	1	20904	30244	1	4	0	5655	0	0	0.02	
2026-09-22T12:55:24Z	3000	781853	1	20904	30244	1	4	0	5655	0	0	0.01	
2026-09-22T12:56:24Z	3060	781853	1	20904	30244	1	4	0	5655	0	0	0.00	
2026-09-22T12:57:24Z	3120	781853	1	20904	30244	1	4	0	5656	0	0	0.00	
2026-09-22T12:58:24Z	3180	781853	1	20904	30244	1	4	0	5656	0	0	0.17	
2026-09-22T12:59:24Z	3240	781853	1	20904	30244	1	4	0	5657	0	0	0.06	
2026-09-22T13:00:24Z	3300	781853	1	20904	30244	1	4	0	5657	0	0	0.02	
2026-09-22T13:01:24Z	3360	781853	1	20904	30244	1	4	0	5657	0	0	0.01	
2026-09-22T13:02:24Z	3420	781853	1	20904	30244	1	4	0	5657	0	0	0.00	
2026-09-22T13:03:24Z	3480	781853	1	20904	30244	1	4	0	5658	0	0	0.06	
2026-09-22T13:04:24Z	3540	781853	1	20904	30244	1	4	0	5659	0	0	0.02	
2026-09-22T13:05:24Z	3600	781853	1	20904	30244	1	4	0	5659	0	0	0.07	
2026-09-22T13:06:24Z	3660	781853	1	20904	30244	1	4	0	5660	0	0	0.03	
2026-09-22T13:07:24Z	3720	781853	1	20904	30244	1	4	0	5660	0	0	0.06	
2026-09-22T13:08:24Z	3780	781853	1	20904	30244	1	4	0	5660	0	0	0.02	
2026-09-22T13:09:24Z	3840	781853	1	20904	30244	1	4	0	5661	0	0	0.01	
2026-09-22T13:10:24Z	3900	781853	1	20904	30244	1	4	0	5661	0	0	0.00	
2026-09-22T13:11:24Z	3960	781853	1	20904	30244	1	4	0	5663	0	0	0.00	
2026-09-22T13:12:24Z	4020	781853	1	20904	30244	1	4	0	5663	0	0	0.00	
2026-09-22T13:13:24Z	4080	781853	1	20904	30244	1	4	0	5663	0	0	0.00	
2026-09-22T13:14:24Z	4140	781853	1	20904	30244	1	4	0	5664	0	0	0.00	
2026-09-22T13:15:24Z	4200	781853	1	20904	30244	1	4	0	5664	0	0	0.00	
2026-09-22T13:16:24Z	4260	781853	1	20904	30244	1	4	0	5664	0	0	0.00	
2026-09-22T13:17:24Z	4320	781853	1	20904	30244	1	4	0	5665	0	0	0.00	
2026-09-22T13:18:24Z	4380	781853	1	20904	30244	1	4	0	5665	0	0	0.00	
2026-09-22T13:19:24Z	4440	781853	1	20904	30244	1	4	0	5665	0	0	0.15	
2026-09-22T13:20:24Z	4500	781853	1	20904	30244	1	4	0	5666	0	0	0.05	
2026-09-22T13:21:24Z	4560	781853	1	20904	30244	1	4	0	5666	0	0	0.02	
2026-09-22T13:22:24Z	4620	781853	1	20904	30244	1	4	0	5666	0	0	0.00	
2026-09-22T13:23:24Z	4680	781853	1	20904	30244	1	4	0	5667	0	0	0.00	
2026-09-22T13:24:24Z	4740	781853	1	20904	30244	1	4	0	5668	0	0	0.05	
2026-09-22T13:25:24Z	4800	781853	1	20904	30244	1	4	0	5669	0	0	0.02	
2026-09-22T13:26:24Z	4860	781853	1	20904	30244	1	4	0	5669	0	0	0.00	
2026-09-22T13:27:24Z	4920	781853	1	20904	30244	1	4	0	5669	0	0	0.00	
2026-09-22T13:28:24Z	4980	781853	1	20904	30244	1	4	0	5670	0	0	0.00	
2026-09-22T13:29:24Z	5040	781853	1	20904	30244	1	4	0	5670	0	0	0.00	
2026-09-22T13:30:24Z	5100	781853	1	20904	30244	1	4	0	5670	0	0	0.00	
2026-09-22T13:31:24Z	5160	781853	1	20904	30244	1	4	0	5671	0	0	0.00	
2026-09-22T13:32:24Z	5220	781853	1	20904	30244	1	4	0	5671	0	0	0.00	
2026-09-22T13:33:24Z	5280	781853	1	20904	30244	1	4	0	5671	0	0	0.00	
2026-09-22T13:34:24Z	5340	781853	1	20904	30244	1	4	0	5673	0	0	0.00	
2026-09-22T13:35:24Z	5400	781853	1	20904	30244	1	4	0	5673	0	0	0.00	
2026-09-22T13:36:24Z	5460	781853	1	20904	30244	1	4	0	5673	0	0	0.04	
2026-09-22T13:37:24Z	5520	781853	1	20904	30244	1	4	0	5673	0	0	0.15	
2026-09-22T13:38:24Z	5580	781853	1	20904	30244	1	4	0	5674	0	0	0.05	
